Combo,Weight,EV
AcJd4s2s,2.3004237738148405E-16,-53999.999999999745
KdQd4s2s,2.494600525607752E-15,-53999.999999999774
AcQd4s2s,1.1575286060272233E-16,-53999.99999999924
KdTc4s2s,1.1857923120881745E-16,-53999.99999999931
KcKd4s2s,4.738958370099768E-17,-53999.999999999505
Ad4s2c2s,1.1652918997683107E-16,-53999.999999999905
Ad4s3c2s,5.251034081723906E-17,-53999.99999999997
AdJc4s2s,2.3004237738148405E-16,-53999.999999999745
AdQc4s2s,1.1575286060272233E-16,-53999.99999999924
6c4s2c2s,1.1144737588718337E-16,-54000.00000000016
Jc4c4s2s,1.1347041207313896E-15,-54000.00000000011
Ac4c4s2s,1.0918663747704873E-16,-54000.00000000038
6c5c4s2s,1.5939954141769957E-16,-54000.00000000008
9c7c4s2s,4.604991716891277E-16,-53999.999999999614
Ac7c4s2s,1.7339351759805926E-15,-54000.00000000013
AcJc4s2s,1.563731982603895E-16,-54000.00000000003
KcQc4s2s,2.494600525607752E-15,-53999.999999999774
Qh6s5s2s,3.2045203180418833E-16,-53999.99999999975
Qd6s5s2s,3.2045203180418833E-16,-53999.99999999975
Qc6s5s2s,3.2045203180418833E-16,-53999.99999999975
8h7s5s2s,6.856449192379686E-16,-54000.000000000015
8d7s5s2s,6.856449192379686E-16,-54000.000000000015
8c7s5s2s,6.856449192379686E-16,-54000.000000000015
9s8s5s2s,1.1981579059952359E-14,-54000.00000000031
Ah8s5s2s,7.016622485607619E-16,-53999.99999999969
Ad8s5s2s,7.016622485607619E-16,-53999.99999999969
Ac8s5s2s,7.016622485607619E-16,-53999.99999999969
Ks9s5s2s,7.75461785077567E-16,-54000.000000000146
QsTs5s2s,1.0864476457180911E-13,-53999.999999999825
Ts7h5s2s,6.6428005680450564E-15,-54000.000000000415
ThTs5s2s,6.27859474934119E-16,-54000.000000000124
Ts7d5s2s,6.6428005680450564E-15,-54000.000000000415
TdTs5s2s,6.27859474934119E-16,-54000.000000000124
Ts7c5s2s,6.6428005680450564E-15,-54000.000000000415
TcTs5s2s,6.27859474934119E-16,-54000.000000000124
QsJs5s2s,3.310460282923527E-15,-53999.999999999825
AsJs5s2s,6.8424354235732376E-18,-53999.99999999997
Qs7h5s2s,9.238503381730125E-16,-54000.00000000038
QsTh5s2s,2.566996738017427E-17,-53999.99999999946
AhQs5s2s,1.0836707587140362E-16,-54000.00000000081
Qs7d5s2s,9.238503381730125E-16,-54000.00000000038
QsTd5s2s,2.566996738017427E-17,-53999.99999999946
AdQs5s2s,1.0836707587140362E-16,-54000.00000000081
Qs7c5s2s,9.238503381730125E-16,-54000.00000000038
QsTc5s2s,2.566996738017427E-17,-53999.99999999946
AcQs5s2s,1.0836707587140362E-16,-54000.00000000081
As5s4h2s,1.4194717859257983E-15,-54000.00000000043
As5s4d2s,1.4194717859257983E-15,-54000.00000000043
As5s4c2s,1.4194717859257983E-15,-54000.00000000043
Td5s2h2s,2.8524345340118014E-17,-54000.00000000006
Tc5s2h2s,2.8524345340118014E-17,-54000.00000000006
7d5s3h2s,2.4203733304148022E-17,-53999.99999999988
7c5s3h2s,2.4203733304148022E-17,-53999.99999999988
8h5h5s2s,9.617784255549157E-17,-53999.9999999999
Qh5h5s2s,1.9278980488254436E-16,-53999.99999999964
5d5h5s2s,6.995082151218434E-16,-54000.00000000013
Td5h5s2s,5.942416305928619E-19,-53999.9999999993
5c5h5s2s,6.995082151218434E-16,-54000.00000000013
Tc5h5s2s,5.942416305928619E-19,-53999.9999999993
8d6h5s2s,3.6478684641900893E-17,-53999.99999999988
8c6h5s2s,3.6478684641900893E-17,-53999.99999999988
Jh7h5s2s,1.1789138558195104E-17,-54000.000000000284
Ah7h5s2s,3.9861563640432525E-14,-54000.00000000003
7h5s3d2s,2.4203733304148022E-17,-53999.99999999988
7h5s3c2s,2.4203733304148022E-17,-53999.99999999988
Jh8h5s2s,2.72079874340768E-16,-53999.99999999999
Ah8h5s2s,2.1358422555788616E-14,-54000.00000000016
8h6d5s2s,3.6478684641900893E-17,-53999.99999999988
8d8h5s2s,7.465846329946937E-16,-53999.99999999983
8h6c5s2s,3.6478684641900893E-17,-53999.99999999988
8c8h5s2s,7.465846329946937E-16,-53999.99999999983
Kh9h5s2s,1.578454355941525E-16,-54000.00000000036
Th5s2d2s,2.8524345340118014E-17,-54000.00000000006
Th5d5s2s,5.942416305928619E-19,-53999.9999999993
QdTh5s2s,1.4093594984221603E-16,-54000.0000000001
Th5s2c2s,2.8524345340118014E-17,-54000.00000000006
Th5c5s2s,5.942416305928619E-19,-53999.9999999993
QcTh5s2s,1.4093594984221603E-16,-54000.0000000001
QdJh5s2s,8.145324891296381E-17,-53999.99999999983
QcJh5s2s,8.145324891296381E-17,-53999.99999999983
QhTd5s2s,1.4093594984221603E-16,-54000.0000000001
QhJd5s2s,8.145324891296381E-17,-53999.99999999983
QhTc5s2s,1.4093594984221603E-16,-54000.0000000001
QhJc5s2s,8.145324891296381E-17,-53999.99999999983
Tc5s2d2s,2.8524345340118014E-17,-54000.00000000006
7c5s3d2s,2.4203733304148022E-17,-53999.99999999988
8d5d5s2s,9.617784255549157E-17,-53999.9999999999
Qd5d5s2s,1.9278980488254436E-16,-53999.99999999964
5c5d5s2s,6.995082151218434E-16,-54000.00000000013
Tc5d5s2s,5.942416305928619E-19,-53999.9999999993
8c6d5s2s,3.6478684641900893E-17,-53999.99999999988
Jd7d5s2s,1.1789138558195104E-17,-54000.000000000284
Ad7d5s2s,3.9861563640432525E-14,-54000.00000000003
7d5s3c2s,2.4203733304148022E-17,-53999.99999999988
Jd8d5s2s,2.72079874340768E-16,-53999.99999999999
Ad8d5s2s,2.1358422555788616E-14,-54000.00000000016
8d6c5s2s,3.6478684641900893E-17,-53999.99999999988
8c8d5s2s,7.465846329946937E-16,-53999.99999999983
Kd9d5s2s,1.578454355941525E-16,-54000.00000000036
Td5s2c2s,2.8524345340118014E-17,-54000.00000000006
